62130,MTN - NG
62140,NG Mtel
62150,Glo NG
62160,Etisalat Nigeria
62201,Airtel
62203,Tigo TD
62301,ETISALAT RCA
62302,Telecel
62304,NationLink
62401,MTN CAM
62402,Orange CAM
62404,Nexttel
62501,CVMOVEL
62502,Unitel T+
62601,STP CSTmovel
62602,Unitel STP
62703,GNQ-Muni
62801,LIBERTIS
62802,ETISALAT GAB
62803,Airtel
62804,AZUR
62901,Airtel
62907,Airtel
62910,COG MTN
63001,Vodacom Congo
63002,Airtel
63086,Orange RDC
63088,CD Smart
63089,TIGO DRC
63090,Africell RDC
63102,UNITEL
63104,MOVICEL
63202,MTN
632003,Orange BS
63207,GTM
63301,C&W SEY
63310,Airtel
63401,Zain SDN
63402,MTN
63405,Vivacell
63406,Zain SD
63501,RWAAR
63504,RWAAR
63510,R-CELL
63512,RWTEL
63513,TIGO RWANDA
63514,Airtel
63601,ETH MTN
63701,SO Telesom
63704,SOMAFONE
63730,Som Golis
63782,Telsom
63801,DJ EVATIS
63902,Safaricom
63903,Airtel
63907,GSM Telkom
64002,TIGO - TZ
64003,ZANTEL-TZ
64004,VodaCom
64005,Airtel
64009,Hits TZ
64101,Airtel
64110,MTN-UGANDA
64111,Uganda Telecom
64114,Africell Uganda
64118,Suretelcom
64122,Airtel
64202,BDI TEMPO-AFRICELL
64203,ONATEL BDI
64207,SMART
64282,TELECEL-BDI
64301,MOZ - mCel
64304,VodaCom-MZ
64501,Airtel
64502,MTN ZM
64601,Airtel
64602,Orange MG
64604,TELMA
64700,Orange re
64702,ONLY
64801,ZW NET*ONE
64803,TELECEL ZW
64804,ZW ECONET
64901,MTC NAMIBIA
64903,tnmobile
65001,TNM
65010,Airtel
65101,VCL
65102,LS-ETL
65201,BW MASCOM
65202,Orange
65204,beMOBILE
65310,Swazi-MTN
65401,HURI
65501,VodaCom-SA
65502,TelkomSA
65507,Cell C
65510,MTN-SA
65801,Sure
65902,MTN
65903,Gemtel
65904,Vivacell
65906,ZAIN SS
702067,BTL
704001,CLARO GTM
70402,TIGO
704003,Movistar
706001,CLARO SLV
70602,Digicel
70603,Tigo SV
706004,Movistar
706010,ESV PERSONAL
708001,CLARO HND
70802,TIGOHND
708030,HND
710021,CLARO NIC
710073,CLARO NIC
710300,Movistar
71200,I.C.E.
71201,I.C.E.
71202,I.C.E.
71203,CLARO CR
71204,Movistar
71401,+Movil - C&W PAN
714003,CLARO PA
714004,DIGICEL
71420,Movistar
71606,MOVISTAR
716010,CLARO PER
716015,Viettel Peru
716017,Entel
722007,AR - Movistar
72210,AR - TEFMVNO
72234,AR PERSONAL
722036,AR PERSONAL
722310,CLARO ARGENTINA
72402,TIM BRA
72403,TIM BRA
72404,TIM BRA
72405,Claro BRA
724006,VIVO
724010,VIVO
724011,VIVO
72415,BRA SCTL
72416,Oi
72423,VIVO
72424,Oi
72431,Oi
